MetaRaw,Player Name,Profile URL,Position,Born,College,High School,Draft,Height,Weight,TransactionsRaw
"Position: Power Forward


  
  ▪ Shoots: Right; Born: June 24 , 1968 (Age: 57-110d) in Cairo, Egypt eg; College: Duke; High School: Bloomfield in Bloomfield, New Jersey; Draft: Portland Trail Blazers , 1st round (25th pick, 25th overall), 1990 NBA Draft; NBA Debut: November 2, 1990; Career Length: 5 years; (Age: 57-110d); Height: 6-10; Weight: 240lb",Alaa Abdelnaby,https://www.basketball-reference.com/players/a/abdelal01.html,"Power Forward


  
  ▪ Shoots: Right","June 24 , 1968 (Age: 57-110d) in Cairo, Egypt eg",Duke,"Bloomfield in Bloomfield, New Jersey","Portland Trail Blazers , 1st round (25th pick, 25th overall), 1990 NBA Draft",6-10,240lb,"June 27, 1990
: Drafted by the
Portland Trail Blazers
in the 1st round (25th pick) of the 1990 NBA Draft.
July 1, 1992
: Traded by the
Portland Trail Blazers
to the
Milwaukee Bucks
for
Tracy Murray
.
December 4, 1992
: Traded by the
Milwaukee Bucks
to the
Boston Celtics
for
Jon Barry
and a 1995 2nd round draft pick (
Eric Snow
was later selected).
July 26, 1994
: Signed as an unrestricted free agent with the
Sacramento Kings
.
March 21, 1995
: Waived by the
Sacramento Kings
.
March 24, 1995
: Signed the first of two 10-day contracts with the
Philadelphia 76ers
.
April 12, 1995
: Waived by the
Philadelphia 76ers
."
"Position: Center and Power Forward


  
  ▪ Shoots: Right; Born: April 7 , 1946 (Age: 79-188d) in Brooklyn, New York us; College: Iowa State; High School: John Jay in Brooklyn, New York; Draft: Cincinnati Royals , 1st round (5th pick, 5th overall), 1968 NBA Draft; NBA Debut: October 16, 1968; Career Length: 10 years; (Age: 79-188d); Height: 6-9; Weight: 235lb",Zaid Abdul-Aziz,https://www.basketball-reference.com/players/a/abdulza01.html,"Center and Power Forward


  
  ▪ Shoots: Right","April 7 , 1946 (Age: 79-188d) in Brooklyn, New York us",Iowa State,"John Jay in Brooklyn, New York","Cincinnati Royals , 1st round (5th pick, 5th overall), 1968 NBA Draft",6-9,235lb,"June 4, 1968
: Drafted by the
Cincinnati Royals
in the 1st round (5th pick) of the 1968 NBA Draft.
January 31, 1969
: Traded by the
Cincinnati Royals
with cash to the
Milwaukee Bucks
for
Fred Hetzel
.
September 17, 1970
: Traded by the
Milwaukee Bucks
with cash to the
Seattle SuperSonics
for
Lucius Allen
and
Bob Boozer
.
September 18, 1972
: Player rights sold by the
Seattle SuperSonics
to the
Houston Rockets
.
August 1, 1975
: Waived by the
Houston Rockets
.
January 31, 1976
: Signed as a free agent with the
Seattle SuperSonics
.
November 26, 1976
: Signed as a veteran free agent with the
Buffalo Braves
.
January 20, 1977
: Waived by the
Buffalo Braves
.
February 14, 1978
: Signed as a free agent with the
Boston Celtics
.
February 24, 1978
: Waived by the
Boston Celtics
.
March 2, 1978
: Signed as a free agent with the
Houston Rockets
.
June 20, 1978
: Waived by the
Houston Rockets
."
"Position: Center


  
  ▪ Shoots: Right; Born: April 16 , 1947 (Age: 78-179d) in New York, New York us; College: UCLA; High School: Power Memorial in New York, New York; Draft: Milwaukee Bucks , 1st round (1st pick, 1st overall), 1969 NBA Draft; NBA Debut: October 18, 1969; Hall of Fame: Inducted as Player in 1995 ( Full List ); Career Length: 20 years; (Age: 78-179d); Height: 7-2; Weight: 225lb",Kareem Abdul-Jabbar,https://www.basketball-reference.com/players/a/abdulka01.html,"Center


  
  ▪ Shoots: Right","April 16 , 1947 (Age: 78-179d) in New York, New York us",UCLA,"Power Memorial in New York, New York","Milwaukee Bucks , 1st round (1st pick, 1st overall), 1969 NBA Draft",7-2,225lb,"April 7, 1969
: Drafted by the
Milwaukee Bucks
in the 1st round (1st pick) of the 1969 NBA Draft.
June 16, 1975
: Traded by the
Milwaukee Bucks
with
Walt Wesley
to the
Los Angeles Lakers
for
Junior Bridgeman
,
Dave Meyers
,
Elmore Smith
and
Brian Winters
."
"Position: Point Guard


  
  ▪ Shoots: Right; Born: March 9 , 1969 (Age: 56-217d) in Gulfport, Mississippi us; College: LSU; High School: Gulfport in Gulfport, Mississippi; Draft: Denver Nuggets , 1st round (3rd pick, 3rd overall), 1990 NBA Draft; NBA Debut: November 10, 1990; Career Length: 9 years; (Age: 56-217d); Height: 6-1; Weight: 162lb",Mahmoud Abdul-Rauf,https://www.basketball-reference.com/players/a/abdulma02.html,"Point Guard


  
  ▪ Shoots: Right","March 9 , 1969 (Age: 56-217d) in Gulfport, Mississippi us",LSU,"Gulfport in Gulfport, Mississippi","Denver Nuggets , 1st round (3rd pick, 3rd overall), 1990 NBA Draft",6-1,162lb,"June 22, 1990
: Traded by the
Miami Heat
(as a
future
1990 1st round draft pick)  to the
Denver Nuggets
for a 1990 1st round draft pick (
Willie Burton
was later selected) and a 1990 1st round draft pick (
Dave Jamerson
was later selected).
June 27, 1990
: Drafted by the
Denver Nuggets
in the 1st round (3rd pick) of the 1990 NBA Draft.
June 13, 1996
: Traded by the
Denver Nuggets
to the
Sacramento Kings
for
Šarūnas Marčiulionis
and a 1996 2nd round draft pick (
Jeff McInnis
was later selected).
August 19, 2000
: Signed as a free agent with the
Vancouver Grizzlies
."
"Position: Shooting Guard


  
  ▪ Shoots: Right; Born: November 3 , 1974 (Age: 50-343d) in Maisons Alfort, France fr; Colleges: Michigan , San Jose State; High School: Lycee Aristide Briand in Evreux, France; Draft: Sacramento Kings , 1st round (11th pick, 11th overall), 1997 NBA Draft; NBA Debut: November 11, 1997; Career Length: 6 years; (Age: 50-343d); Height: 6-6; Weight: 223lb",Tariq Abdul-Wahad,https://www.basketball-reference.com/players/a/abdulta01.html,"Shooting Guard


  
  ▪ Shoots: Right","November 3 , 1974 (Age: 50-343d) in Maisons Alfort, France fr",,"Lycee Aristide Briand in Evreux, France","Sacramento Kings , 1st round (11th pick, 11th overall), 1997 NBA Draft",6-6,223lb,"June 25, 1997
: Drafted by the
Sacramento Kings
in the 1st round (11th pick) of the 1997 NBA Draft.
August 3, 1999
: Traded by the
Sacramento Kings
with a 2003 1st round draft pick (
Kendrick Perkins
was later selected) to the
Orlando Magic
for
Nick Anderson
.
February 1, 2000
: Traded by the
Orlando Magic
with
Chris Gatling
and a future 1st round draft pick to the
Denver Nuggets
for
Chauncey Billups
,
Ron Mercer
and
Johnny Taylor
. Denver accepted Omar Cook from Orlando on June 26, 2001 in lieu of the future 1st round draft pick.
February 21, 2002
: Traded by the
Denver Nuggets
with
Avery Johnson
,
Raef LaFrentz
and
Nick Van Exel
to the
Dallas Mavericks
for
Tim Hardaway
,
Donnell Harvey
,
Juwan Howard
, cash and a 2002 1st round draft pick (
Frank Williams
was later selected)."
"Position: Power Forward, Small Forward, and Center


  
  ▪ Shoots: Right; Born: December 11 , 1976 (Age: 48-305d) in Marietta, Georgia us; College: California; High School: Wheeler in Marietta, Georgia; Draft: Vancouver Grizzlies , 1st round (3rd pick, 3rd overall), 1996 NBA Draft; NBA Debut: November 1, 1996; Career Length: 12 years; (Age: 48-305d); Height: 6-9; Weight: 225lb",Shareef Abdur-Rahim,https://www.basketball-reference.com/players/a/abdursh01.html,"Power Forward, Small Forward, and Center


  
  ▪ Shoots: Right","December 11 , 1976 (Age: 48-305d) in Marietta, Georgia us",California,"Wheeler in Marietta, Georgia","Vancouver Grizzlies , 1st round (3rd pick, 3rd overall), 1996 NBA Draft",6-9,225lb,"June 26, 1996
: Drafted by the
Vancouver Grizzlies
in the 1st round (3rd pick) of the 1996 NBA Draft.
June 27, 2001
: Traded by the
Vancouver Grizzlies
with
Jamaal Tinsley
to the
Atlanta Hawks
for
Pau Gasol
,
Brevin Knight
and
Lorenzen Wright
.
February 9, 2004
: Traded by the
Atlanta Hawks
with
Dan Dickau
and
Theo Ratliff
to the
Portland Trail Blazers
for
Wesley Person
and
Rasheed Wallace
.
August 12, 2005
: Signed as a free agent with the
Sacramento Kings
.
September 22, 2008
: Retired from the
Sacramento Kings
."
"Position: Small Forward and Power Forward


  
  ▪ Shoots: Right; Born: May 6 , 1954 (Age: 71-159d) in South Bend, Indiana us; College: Indiana; High School: Saint Joseph in South Bend, Indiana; Draft: Los Angeles Lakers , 3rd round (9th pick, 43rd overall), 1976 NBA Draft; NBA Debut: November 19, 1976; Career Length: 5 years; (Age: 71-159d); Height: 6-7; Weight: 220lb",Tom Abernethy,https://www.basketball-reference.com/players/a/abernto01.html,"Small Forward and Power Forward


  
  ▪ Shoots: Right","May 6 , 1954 (Age: 71-159d) in South Bend, Indiana us",Indiana,"Saint Joseph in South Bend, Indiana","Los Angeles Lakers , 3rd round (9th pick, 43rd overall), 1976 NBA Draft",6-7,220lb,"June 8, 1976
: Drafted by the
Los Angeles Lakers
in the 3rd round (43rd pick) of the 1976 NBA Draft.
June 7, 1978
: Traded by the
Los Angeles Lakers
to the
Buffalo Braves
for a 1978 2nd round draft pick (
Lew Massey
was later selected).
July 15, 1978
: Signed as a veteran free agent with the
Golden State Warriors
; the
San Diego Clippers
received a 1979 2nd round draft pick (
Gary Garland
was later selected) as compensation.
December 12, 1980
: Waived by the
Golden State Warriors
.
December 26, 1980
: Signed as a free agent with the
Indiana Pacers
."
"Position: Guard


  
  ▪ Shoots: Right; Born: July 27 , 1932 (Age: 93-077d) in Louisville, Kentucky us; College: Western Kentucky; High School: Fairdale in Louisville, Kentucky; Draft: Syracuse Nationals , 3rd round (5th pick, 21st overall), 1956 NBA Draft; NBA Debut: October 28, 1956; Career Length: 1 year; (Age: 93-077d); Height: 6-3; Weight: 180lb",Forest Able,https://www.basketball-reference.com/players/a/ablefo01.html,"Guard


  
  ▪ Shoots: Right","July 27 , 1932 (Age: 93-077d) in Louisville, Kentucky us",Western Kentucky,"Fairdale in Louisville, Kentucky","Syracuse Nationals , 3rd round (5th pick, 21st overall), 1956 NBA Draft",6-3,180lb,"April 30, 1956
: Drafted by the
Syracuse Nationals
in the 3rd round (21st pick) of the 1956 NBA Draft."
"Position: Forward


  
  ▪ Shoots: Right; Born: February 9 , 1919 in Etna, Pennsylvania us; Died: June 9, 2000 (Aged 81-121d); College: Salem University; High School: Etna in Etna, Pennsylvania; NBA Debut: November 2, 1946; Career Length: 2 years; Height: 6-3; Weight: 195lb",John Abramovic,https://www.basketball-reference.com/players/a/abramjo01.html,"Forward


  
  ▪ Shoots: Right","February 9 , 1919 in Etna, Pennsylvania us",Salem University,"Etna in Etna, Pennsylvania",,6-3,195lb,"July 27, 1947
: Drafted by the
Boston Celtics
from the
Pittsburgh Ironmen
in the dispersal draft.
October 27, 1947
: Traded by the
Boston Celtics
to the
St. Louis Bombers
for
George Munroe
and cash.
December 9, 1947
: Signed as a free agent with the
Baltimore Bullets
."
"Position: Shooting Guard


  
  ▪ Shoots: Right; Born: August 1 , 1993 (Age: 32-072d) in Palma de Mallorca, Spain es; Draft: Oklahoma City Thunder , 2nd round (2nd pick, 32nd overall), 2013 NBA Draft; NBA Debut: October 26, 2016; Career Length: 3 years; (Age: 32-072d); Height: 6-6; Weight: 200lb",Álex Abrines,https://www.basketball-reference.com/players/a/abrinal01.html,"Shooting Guard


  
  ▪ Shoots: Right","August 1 , 1993 (Age: 32-072d) in Palma de Mallorca, Spain es",,,"Oklahoma City Thunder , 2nd round (2nd pick, 32nd overall), 2013 NBA Draft",6-6,200lb,"December 19, 2011
: Traded by the
Charlotte Bobcats
(as a
future
2013 2nd round draft pick)  to the
Oklahoma City Thunder
for
Byron Mullens
.
June 26, 2012
: Traded by the
Oklahoma City Thunder
(as a
future
2013 2nd round draft pick)  with
Jeff Green
,
Nenad Krstić
, cash and a 2012 1st round draft pick (
Fab Melo
was later selected) to the
Boston Celtics
for
Kendrick Perkins
and
Nate Robinson
. draft pick awarded by NBA to resolve dispute over Jeff Green's medical condition
July 20, 2012
: As part of a 3-team trade, traded by the
Boston Celtics
(as a
future
2013 2nd round draft pick)  with
JaJuan Johnson
,
E'Twaun Moore
and
Sean Williams
to the
Houston Rockets
; the
Boston Celtics
traded
Sasha Pavlović
to the
Portland Trail Blazers
; the
Houston Rockets
traded
Courtney Lee
to the
Boston Celtics
; and  the
Portland Trail Blazers
traded
Jon Diebler
to the
Houston Rockets
.
October 27, 2012
: Traded by the
Houston Rockets
(as a
future
2013 2nd round draft pick)  with
Jeremy Lamb
,
Kevin Martin
, a 2013 1st round draft pick (
Steven Adams
was later selected) and a 2014 1st round draft pick (
Mitch McGary
was later selected) to the
Oklahoma City Thunder
for
Cole Aldrich
,
Daequan Cook
,
James Harden
and
Lazar Hayward
.
June 27, 2013
: Drafted by the
Oklahoma City Thunder
in the 2nd round (32nd pick) of the 2013 NBA Draft.
July 23, 2016
: Signed a multi-year contract with the
Oklahoma City Thunder
.
February 9, 2019
: Waived by the
Oklahoma City Thunder
."
